,Name,Rating,Review Count,Price,Address
0,The Eagle,4.5,1562,$$,"1314 Bardstown Rd, Louisville, KY 40204"
1,Hammerheads,4.5,1338,$$,"921 Swan St, Louisville, KY 40204"
2,Oliver's Chop House & Bourbon Bar,4.5,11,,"4520 Poplar Level Rd, Derby City Gaming Hotel, Louisville, KY 40213"
3,Copper & Kings Rooftop Bar & Restaurant,4.5,124,$$,"1121 E Washington St, Copper and Kings, Louisville, KY 40206"
4,Harvey's,5.0,50,,"2011 Frankfort Ave, Louisville, KY 40206"
5,Kup Bop,5.0,4,,"5000 Shelbyville Rd, Louisville, KY 40207"
6,Doc Crow's,4.0,2069,$$,"127 W Main St, Louisville, KY 40202"
7,Paseo,4.5,22,,"900 Baxter Ave, Louisville, KY 40204"
8,Kebab house,5.0,55,,"969 Baxter Ave, Louisville, KY 40204"
9,Bellissimo restaurant,5.0,6,,"2217 Steier Ln, Louisville, KY 40218"
10,Yummy Pollo,4.5,634,$,"4222-B Bishop Ln, Louisville, KY 40218"
11,Gus's World Famous Fried Chicken - Louisville,4.5,60,$$,"117 S Hurstbourne Pkwy, Louisville, KY 40222"
12,CASK Southern Kitchen & Bar,4.5,409,$$,"9980 Linn Station Rd, Louisville, KY 40223"
13,Lou Lou on Market,4.5,65,,"812 E Market St, Louisville, KY 40206"
14,North of Bourbon,4.5,151,$$,"935 Goss Ave, Louisville, KY 40217"
15,District 6,4.5,313,$$,"3930 Shelbyville Rd, Louisville, KY 40207"
16,Big Bad Breakfast - Barret Ave ,4.0,379,$$,"984 Barret Ave, Louisville, KY 40204"
17,Sidebar At Whiskey Row,4.5,791,$$,"129 N 2nd St, Louisville, KY 40202"
18,Veronica's Mexican Restaurant,4.5,20,,"5044 Poplar Level Rd, Louisville, KY 40219"
19,Decade Restaurant,4.5,13,,"1076 E. Washington, St 40206, Louisville, KY 40202"
20,The Village Market Food Hall,4.5,20,,"712 Brent Street, Louisville, KY 40204"
21,The Goose Eatery & Hangout,4.0,30,,"812 Lyndon Ln, Unit 105, Lyndon, KY 40222"
22,La Bodeguita de Mima,4.5,743,$$,"725 E Market St, Louisville, KY 40202"
23,Repeal Oak-Fired Steakhouse,4.5,391,$$$,"101 West Main St, Louisville, KY 40202"
24,Meesh Meesh,5.0,6,,"636 E Market St, Louisville, KY 40202"
25,Red Hog Restaurant,4.5,114,$$,"2622 Frankfort Ave, Louisville, KY 40206"
26,GOGi 1055 Korean BBQ,4.5,149,$$$,"1055 Bardstown Rd, Louisville, KY 40204"
27,Haymarket by Ashbourne Farms,4.0,28,,"3020 River Rd, Louisville, KY 40207"
28,Eden & Kissi,4.5,108,,"3912 Bardstown Rd, Louisville, KY 40218"
29,The Fat Lamb,4.5,307,$$$,"2011 Grinstead Dr, Ste 104, Louisville, KY 40204"
30,Against The Grain Public House ,4.0,1269,$$,"401 E Main St, Louisville, KY 40202"
31,Nami Modern Korean Steakhouse,4.5,51,,"835 E Main St, Louisville, KY 40206"
32,The Black Italian,4.5,18,,"2009 Highland Ave, Louisville, KY 40204"
33,The Smokery,4.5,44,$$,"2354 Frankfort Ave, Louisville, KY 40206"
34,Biscuit Belly - Nulu,4.5,697,$$,"900 E Main St, Louisville, KY 40206"
35,Neighbors Noodles,3.5,10,,"835 E Main St, Ste 105, Louisville, KY 40206"
36,Pig Beach BBQ,3.0,26,,"1201 River Rd, Louisville, KY 40206"
37,Perso,4.5,56,$$,"741 E Oak St, Louisville, KY 40203"
38,Oskar's Slider Bar,4.5,293,$$,"3799 Poplar Level Rd, Louisville, KY 40213"
39,The Charcoal Restaurant,5.0,251,$$,"2805 N Hurstbourne Pkwy, Ste 100, Louisville, KY 40223"
40,In Season,4.5,94,$$,"324 W Main St, Louisville, KY 40202"
41,Ramen House,4.5,375,$$,"1250 Bardstown Rd, Ste 17A, Louisville, KY 40204"
42,Bar Genevieve,5.0,2,,"730 E Market St, Louisville, KY 40202"
43,Porch Kitchen & Bar,3.5,526,$$,"280 W Jefferson St, Louisville, KY 40202"
44,King Buffet,3.0,28,,"3020 Bardstown Rd, Louisville, KY 40205"
45,Hillcrest Tavern,4.5,115,$$,"3212 Frankfort Ave, Louisville, KY 40206"
46,Nic & Norman's,4.0,26,,"108 W Washington St, Louisville, KY 40202"
47,Good Belly Sandwich Shop,4.5,16,,"2216 Dundee Rd, Louisville, KY 40205"
48,Toasty's Tavern,4.5,155,$,"1258 S Shelby St, Louisville, KY 40203"
49,Lupo,4.5,266,$$,"1540 Frankfort Ave, Louisville, KY 40206"
50,Harry's Taphouse & Kitchen,4.5,127,$$,"130 W Riverside Dr, Jeffersonville, IN 47130"
51,Chik'n & Mi,4.5,452,$$,"1765 Mellwood Ave, Louisville, KY 40206"
52,610 Magnolia,4.5,221,$$$$,"610 W Magnolia Ave, Louisville, KY 40208"
53,Fork & Barrel,4.0,235,$$,"1722 Frankfort Ave, Louisville, KY 40206"
54,Nostalgic Cocktail House + Restaurant,4.0,75,,"1306 Bardstown Rd, Louisville, KY 40204"
55,La Suerte Louisville,4.0,101,$$,"2116 Bardstown Rd, Louisville, KY 40205"
56,Syrian Grill,4.5,52,,"3325 Bardstown Rd, Louisville, KY 40218"
57,Jamaican Jerk Center,5.0,14,,"2220 Hikes Ln, Louisville, KY 40218"
58,80/20 @ Kaelin's,3.5,323,$$,"1801 Newburg Rd, Louisville, KY 40205"
59,Butchertown Grocery,4.5,480,$$$,"1076 E Washington St, Fl 1, Louisville, KY 40206"
60,Louie's Hot Chicken & Barbecue,4.5,284,$$,"4222 Poplar Level Rd, Louisville, KY 40213"
61,Bourbon Craft House,4.5,2,,"937 Phillips Ln, Louisville, KY 40209"
62,Jaggers,4.0,147,$,"6464 Dutchmans Pkwy, Louisville, KY 40205"
63,Jack Fry's,4.5,642,$$$,"1007 Bardstown Rd, Louisville, KY 40204"
64,Naïve Kitchen + Bar,4.0,378,$$,"1001 E Washington St, Louisville, KY 40206"
65,River House,4.0,606,$$$,"3015 River Rd, Louisville, KY 40207"
66,LouVino - Highlands,4.5,460,$$,"1606 Bardstown Rd, Louisville, KY 40205"
67,Connor’s Steak and Seafood,4.5,72,,"615 S Hurstbourne Pkwy, Louisville, KY 40222"
68,Wild Eggs,4.5,1370,$$,"121 S Floyd St, Louisville, KY 40202"
69,Doc's Bourbon Room,4.5,57,$$,"129 W Main St, Louisville, KY 40202"
70,Mussel and Burger Bar Downtown,4.5,1160,$$,"113 S 7th St, Louisville, KY 40202"
71,Silvio's,4.5,325,$$,"104 Fairfax Ave, Louisville, KY 40207"
72,Merle's Whiskey Kitchen,4.0,757,$$,"122 W Main St, Louisville, KY 40202"
73,Noche Mexican BBQ,4.0,481,$$,"1838 Bardstown Rd, Ste 100, Louisville, KY 40205"
74,Scooter’s Coffee,4.0,1,,"3410 Preston Hwy, Louisville, KY 40213"
75,The Table,5.0,143,$,"1800 Portland Ave, Louisville, KY 40203"
76,Kern's Korner,4.5,41,$,"2600 Bardstown Rd, Louisville, KY 40205"
77,Wild Swann Restaurant,4.5,27,,"601 W Main St, Louisville, KY 40202"
78,Fresh Out the Box,4.5,30,$,"1001 Logan St, Ste 125, Louisville, KY 40204"
79,Dragon King's Daughter,4.0,601,$$,"1543 Bardstown Rd, Louisville, KY 40204"
80,Le Moo,4.0,865,$$$,"2300 Lexington Rd, Louisville, KY 40206"
