,EstablishmentID,InspectionID,Ins_TypeDesc,EstablishmentName,PlaceName,Address,Address2,City,State,Zip,TypeDescription,InspectionDate,score,Grade,NameSearch,Intersection,ObjectId
0,29956,1768584,REGULAR,CVS #6211,,3721 LEXINGTON RD,,LOUISVILLE,KY,40207,PRE-PACKAGED RETAIL,2023-06-30 00:00:00,100,,CVS #6211,,1
1,29967,1786484,REGULAR,NEIGHBORHOOD FOOD MART,,542 LAMPTON ST,,LOUISVILLE,KY,40203,SUPERMARKET WITH PROCESSING,2023-09-05 00:00:00,100,,NEIGHBORHOOD FOOD MART,,2
2,29979,1731827,REGULAR,CIRCLE K #4700075,,1630 ARTHUR ST,,LOUISVILLE,KY,40208,"RETAIL-FOOD  10,000 SQ FT OR LESS",2023-01-27 00:00:00,95,A,CIRCLE K #4700075,,3
3,29979,1731828,REGULAR,CIRCLE K #4700075,,1630 ARTHUR ST,,LOUISVILLE,KY,40208,"RETAIL-FOOD  10,000 SQ FT OR LESS",2023-01-27 00:00:00,97,,CIRCLE K #4700075,,4
4,29979,1766455,REGULAR,CIRCLE K #4700075,,1630 ARTHUR ST,,LOUISVILLE,KY,40208,"RETAIL-FOOD  10,000 SQ FT OR LESS",2023-06-21 00:00:00,98,A,CIRCLE K #4700075,,5
5,29979,1766456,REGULAR,CIRCLE K #4700075,,1630 ARTHUR ST,,LOUISVILLE,KY,40208,"RETAIL-FOOD  10,000 SQ FT OR LESS",2023-06-21 00:00:00,97,,CIRCLE K #4700075,,6
6,30043,1735940,REGULAR,F&Y SUPERMARKET,,3801 W MARKET ST,,LOUISVILLE,KY,40212,"RETAIL-FOOD  10,000 SQ FT OR LESS",2023-02-17 00:00:00,94,A,F&Y SUPERMARKET,,7
7,30043,1735941,REGULAR,F&Y SUPERMARKET,,3801 W MARKET ST,,LOUISVILLE,KY,40212,"RETAIL-FOOD  10,000 SQ FT OR LESS",2023-02-17 00:00:00,91,,F&Y SUPERMARKET,,8
8,30043,1782435,REGULAR,F&Y SUPERMARKET,,3801 W MARKET ST,,LOUISVILLE,KY,40212,"RETAIL-FOOD  10,000 SQ FT OR LESS",2023-08-22 00:00:00,92,A,F&Y SUPERMARKET,,9
9,30043,1782436,REGULAR,F&Y SUPERMARKET,,3801 W MARKET ST,,LOUISVILLE,KY,40212,"RETAIL-FOOD  10,000 SQ FT OR LESS",2023-08-22 00:00:00,94,,F&Y SUPERMARKET,,10
10,30075,1760237,REGULAR,CVS #6199,,3130 PORTLAND AVE,,LOUISVILLE,KY,40212,PRE-PACKAGED RETAIL,2023-06-01 00:00:00,97,,CVS #6199,,11
11,30085,1705774,REGULAR,SPEEDWAY #9709,,4239 POPLAR LEVEL RD,,LOUISVILLE,KY,40213,"RETAIL-FOOD  10,000 SQ FT OR LESS",2022-10-03 00:00:00,96,A,SPEEDWAY #9709,,12
12,30085,1705775,REGULAR,SPEEDWAY #9709,,4239 POPLAR LEVEL RD,,LOUISVILLE,KY,40213,"RETAIL-FOOD  10,000 SQ FT OR LESS",2022-10-03 00:00:00,95,,SPEEDWAY #9709,,13
13,30085,1744034,REGULAR,SPEEDWAY #9709,,4239 POPLAR LEVEL RD,,LOUISVILLE,KY,40213,"RETAIL-FOOD  10,000 SQ FT OR LESS",2023-03-24 00:00:00,97,A,SPEEDWAY #9709,,14
14,30085,1744035,REGULAR,SPEEDWAY #9709,,4239 POPLAR LEVEL RD,,LOUISVILLE,KY,40213,"RETAIL-FOOD  10,000 SQ FT OR LESS",2023-03-24 00:00:00,97,,SPEEDWAY #9709,,15
15,30085,1785899,REGULAR,SPEEDWAY #9709,,4239 POPLAR LEVEL RD,,LOUISVILLE,KY,40213,"RETAIL-FOOD  10,000 SQ FT OR LESS",2023-09-05 00:00:00,98,A,SPEEDWAY #9709,,16
16,30085,1785900,REGULAR,SPEEDWAY #9709,,4239 POPLAR LEVEL RD,,LOUISVILLE,KY,40213,"RETAIL-FOOD  10,000 SQ FT OR LESS",2023-09-05 00:00:00,97,,SPEEDWAY #9709,,17
17,30108,1724197,REGULAR,SPEEDWAY #9515,,2720 TAYLORSVILLE RD,,LOUISVILLE,KY,40205,"RETAIL-FOOD  10,000 SQ FT OR LESS",2022-12-16 00:00:00,99,A,SPEEDWAY #9515,,18
18,30108,1724198,REGULAR,SPEEDWAY #9515,,2720 TAYLORSVILLE RD,,LOUISVILLE,KY,40205,"RETAIL-FOOD  10,000 SQ FT OR LESS",2022-12-16 00:00:00,100,,SPEEDWAY #9515,,19
19,30108,1757510,REGULAR,SPEEDWAY #9515,,2720 TAYLORSVILLE RD,,LOUISVILLE,KY,40205,"RETAIL-FOOD  10,000 SQ FT OR LESS",2023-05-22 00:00:00,98,A,SPEEDWAY #9515,,20
20,30108,1757511,REGULAR,SPEEDWAY #9515,,2720 TAYLORSVILLE RD,,LOUISVILLE,KY,40205,"RETAIL-FOOD  10,000 SQ FT OR LESS",2023-05-22 00:00:00,99,,SPEEDWAY #9515,,21
21,30154,1737641,REGULAR,CIRCLE K #4700117,,9619 WHIPPS MILL RD,,LOUISVILLE,KY,40222,PRE-PACKAGED RETAIL,2023-02-24 00:00:00,98,,CIRCLE K #4700117,,22
22,30248,1740736,REGULAR,NEWCOMER ACADEMY,,3741 PULLIAM DR,,LOUISVILLE,KY,40218,SCHOOL CAFETERIA OR FOOD SERVICE,2023-03-10 00:00:00,99,A,NEWCOMER ACADEMY,,23
23,30248,1786293,REGULAR,NEWCOMER ACADEMY,,3741 PULLIAM DR,,LOUISVILLE,KY,40218,SCHOOL CAFETERIA OR FOOD SERVICE,2023-09-06 00:00:00,98,A,NEWCOMER ACADEMY,,24
24,30264,1732669,REGULAR,SPEEDWAY #5043,,4417 DIXIE HWY,,LOUISVILLE,KY,40216,"RETAIL-FOOD  10,000 SQ FT OR LESS",2023-02-01 00:00:00,94,A,SPEEDWAY #5043,,25
25,30264,1732670,REGULAR,SPEEDWAY #5043,,4417 DIXIE HWY,,LOUISVILLE,KY,40216,"RETAIL-FOOD  10,000 SQ FT OR LESS",2023-02-01 00:00:00,97,,SPEEDWAY #5043,,26
26,30264,1770526,REGULAR,SPEEDWAY #5043,,4417 DIXIE HWY,,LOUISVILLE,KY,40216,"RETAIL-FOOD  10,000 SQ FT OR LESS",2023-07-11 00:00:00,95,A,SPEEDWAY #5043,,27
27,30264,1770527,REGULAR,SPEEDWAY #5043,,4417 DIXIE HWY,,LOUISVILLE,KY,40216,"RETAIL-FOOD  10,000 SQ FT OR LESS",2023-07-11 00:00:00,96,,SPEEDWAY #5043,,28
28,30337,1736243,REGULAR,PIC PAC,,3110 TAYLOR BLVD,,LOUISVILLE,KY,40215,SUPERMARKET WITH PROCESSING,2023-02-20 00:00:00,91,,PIC PAC,,29
29,30337,1740411,COMPLAINT,PIC PAC,,3110 TAYLOR BLVD,,LOUISVILLE,KY,40215,SUPERMARKET WITH PROCESSING,2023-02-20 00:00:00,0,,PIC PAC,,30
30,30337,1740412,FOLLOWUP,PIC PAC,,3110 TAYLOR BLVD,,LOUISVILLE,KY,40215,SUPERMARKET WITH PROCESSING,2023-02-21 00:00:00,0,,PIC PAC,,31
31,30374,1754411,REGULAR,SUGAR AND SPICE,,5613 BARDSTOWN RD,,LOUISVILLE,KY,40291,PRE-PACKAGED RETAIL,2023-05-09 00:00:00,99,,SUGAR AND SPICE,,32
32,30394,1724804,REGULAR,SAM'S CLUB #8276,,6622 PRESTON HWY,,LOUISVILLE,KY,40219,"RETAIL-FOOD  10,000 SQ FT OR LESS",2022-12-19 00:00:00,98,A,SAM'S CLUB #8276,,33
33,30394,1724805,REGULAR,SAM'S CLUB #8276,,6622 PRESTON HWY,,LOUISVILLE,KY,40219,"RETAIL-FOOD  10,000 SQ FT OR LESS",2022-12-19 00:00:00,99,,SAM'S CLUB #8276,,34
34,30394,1771809,REGULAR,SAM'S CLUB #8276,,6622 PRESTON HWY,,LOUISVILLE,KY,40219,"RETAIL-FOOD  10,000 SQ FT OR LESS",2023-07-14 00:00:00,98,A,SAM'S CLUB #8276,,35
35,30394,1771810,REGULAR,SAM'S CLUB #8276,,6622 PRESTON HWY,,LOUISVILLE,KY,40219,"RETAIL-FOOD  10,000 SQ FT OR LESS",2023-07-14 00:00:00,97,,SAM'S CLUB #8276,,36
36,30411,1721988,REGULAR,WALGREENS #12322,,808 EASTERN PKWY,,LOUISVILLE,KY,40217,PRE-PACKAGED RETAIL,2022-12-07 00:00:00,95,,WALGREENS #12322,,37
37,30425,1769106,REGULAR,BIG LOTS #226,,4121 SHELBYVILLE RD,,LOUISVILLE,KY,40207,SUPERMARKET WITH PROCESSING,2023-07-05 00:00:00,100,,BIG LOTS #226,,38
38,30826,1715420,REGULAR,TIMOTHY'S ANGELS,,1351 CATALPA ST,,LOUISVILLE,KY,40211,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,2022-11-08 00:00:00,99,A,TIMOTHY'S ANGELS,,39
39,30826,1757398,REGULAR,TIMOTHY'S ANGELS,,1351 CATALPA ST,,LOUISVILLE,KY,40211,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,2023-05-22 00:00:00,100,A,TIMOTHY'S ANGELS,,40
40,30917,1744461,REGULAR,BRIGHT HORIZONS @ PLAINVIEW SCHOOL,,10320 TIMBERWOOD CIRCLE,,LOUISVILLE,KY,40223,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,2023-03-27 00:00:00,100,A,BRIGHT HORIZONS @ PLAINVIEW SCHOOL,,41
41,30917,1715303,REGULAR,BRIGHT HORIZONS @ PLAINVIEW SCHOOL,,10320 TIMBERWOOD CIRCLE,,LOUISVILLE,KY,40223,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,2022-11-07 00:00:00,99,A,BRIGHT HORIZONS @ PLAINVIEW SCHOOL,,42
42,30917,1777346,REGULAR,BRIGHT HORIZONS @ PLAINVIEW SCHOOL,,10320 TIMBERWOOD CIRCLE,,LOUISVILLE,KY,40223,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,2023-08-03 00:00:00,97,A,BRIGHT HORIZONS @ PLAINVIEW SCHOOL,,43
43,30972,1740536,REGULAR,KINDER CARE LEARNING CTR #420,,730 ZORN AVE,,LOUISVILLE,KY,40206,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,2023-03-09 00:00:00,100,A,KINDER CARE LEARNING CTR #420,,44
44,30989,1738650,REGULAR,SOUTHSIDE CHRISTIAN,,5804 SOUTHSIDE DR,,LOUISVILLE,KY,40214,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,2023-03-01 00:00:00,100,A,SOUTHSIDE CHRISTIAN,,45
45,30989,1787699,REGULAR,SOUTHSIDE CHRISTIAN,,5804 SOUTHSIDE DR,,LOUISVILLE,KY,40214,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,2023-09-12 00:00:00,100,A,SOUTHSIDE CHRISTIAN,,46
