EstablishmentID,InspectionID,Ins_TypeDesc,EstablishmentName,PlaceName,Address,Address2,City,State,Zip,TypeDescription,InspectionDate,score,Grade,NameSearch,Intersection,ObjectId
98505,1749114,REGULAR,MI SUENO RESTAURANT,,3425 BARDSTOWN RD,,LOUISVILLE,KY,40218,FOOD SERVICE,2023-04-18,70,C,MI SUENO RESTAURANT,,4803
118055,1748425,REGULAR,DAISUKI SUSHI,,1604 BARDSTOWN RD,,LOUISVILLE,KY,40205,FOOD SERVICE,2023-04-14,71,C,DAISUKI SUSHI,,10803
99781,1725518,REGULAR,HAPPY CHINA,,9128 TAYLORSVILLE RD,,LOUISVILLE,KY,40299,FOOD SERVICE,2022-12-22,72,C,HAPPY CHINA,,5049
115438,1725737,FOLLOWUP,EXPRESSWAY FOOD MART,,1420 W BROADWAY,,LOUISVILLE,KY,40203,"RETAIL-FOOD  10,000 SQ FT OR LESS",2022-12-27,73,C,EXPRESSWAY FOOD MART,,9916
107689,1704587,REGULAR,BEST WESTERN,,4110 DIXIE HWY,,LOUISVILLE,KY,40216,FOOD SERVICE,2022-09-28,74,C,BEST WESTERN,,6908
92904,1681794,REGULAR,DIXIE CHICKEN,,3947 DIXIE HWY,,LOUISVILLE,KY,40216,FOOD SERVICE,2022-06-23,74,C,DIXIE CHICKEN,,4254
109770,1728219,REGULAR,MASHALLAH AFRICAN RESTAURANT,,4109 BARDSTOWN RD STE 104,,LOUISVILLE,KY,40218,FOOD SERVICE,2023-01-11,74,C,MASHALLAH AFRICAN RESTAURANT,,7665
35239,1738487,REGULAR,AL WATAN BAKERY,,3711 KLONDIKE LN,,LOUISVILLE,KY,40218,SUPERMARKET WITH PROCESSING,2023-02-28,74,,AL WATAN BAKERY,,814
89918,1742627,REGULAR,LA CHAPINLANDIA,,1209 MCCAWLEY RD,,LOUISVILLE,KY,40219,"RETAIL-FOOD  10,000 SQ FT OR LESS",2023-03-20,75,C,LA CHAPINLANDIA,,3809
99182,1733025,REGULAR,LAS AMERICAS MEXICAN RESTAURANT,,3719 KLONDIKE LN,,LOUISVILLE,KY,40218,FOOD SERVICE,2023-02-01,75,C,LAS AMERICAS MEXICAN RESTAURANT,,5016
115792,1694417,REGULAR,KABUKI,,,,LOUISVILLE,KY,40202,SELF-CONTAINED MOBILE FOOD UNITS,2022-08-15,75,C,KABUKI,,9889
112909,1703857,REGULAR,TAQUERIA LOS GORDITOS,,2017 BROWNSBORO RD STE B,,LOUISVILLE,KY,40206,FOOD SERVICE,2022-09-26,76,C,TAQUERIA LOS GORDITOS,,8491
107181,1739048,REGULAR,LA MORENA,,8659 PRESTON HWY,,LOUISVILLE,KY,40219,FOOD SERVICE,2023-03-02,76,C,LA MORENA,,6583
106862,1693288,REGULAR,TOWNEPLACE SUITES,,6601 PARAMOUNT PARK DR,,LOUISVILLE,KY,40213,FOOD SERVICE,2022-08-10,77,C,TOWNEPLACE SUITES,,6619
107692,1751561,REGULAR,FAMILY TIES,,1030 CECIL AVE,,LOUISVILLE,KY,40211,FOOD SERVICE,2023-04-27,78,C,FAMILY TIES,,7127
111785,1713527,REGULAR,I LOVE TACOS,,1534 BARDSTOWN RD,,LOUISVILLE,KY,40205,FOOD SERVICE,2022-10-31,78,C,I LOVE TACOS,,8060
116087,1694004,REGULAR,22ND FOOD MART,,2200 W MARKET ST,,LOUISVILLE,KY,40212,"RETAIL-FOOD  10,000 SQ FT OR LESS",2022-08-12,78,C,22ND FOOD MART,,9633
115438,1722492,REGULAR,EXPRESSWAY FOOD MART,,1420 W BROADWAY,,LOUISVILLE,KY,40203,"RETAIL-FOOD  10,000 SQ FT OR LESS",2022-12-08,78,C,EXPRESSWAY FOOD MART,,9932
109775,1743947,REGULAR,DALAT'S GATEAUX & CAFE,,6915 SOUTHSIDE DR,,LOUISVILLE,KY,40214,"RETAIL-FOOD  10,000 SQ FT OR LESS",2023-03-24,79,C,DALAT'S GATEAUX & CAFE,,7736
116509,1743414,REGULAR,THOMAS DELI,,2720 DUNCAN ST,,LOUISVILLE,KY,40212,"RETAIL-FOOD  10,000 SQ FT OR LESS",2023-03-22,80,C,THOMAS DELI,,10366
115258,1757107,REGULAR,THE LITTLE STORE & MORE,,1121 BARDSTOWN RD RR #2,,LOUISVILLE,KY,40204,FOOD SERVICE,2023-05-19,80,C,THE LITTLE STORE & MORE,,9400
114794,1717770,REGULAR,MRS NICEY'S AUTHENTIC BBQ FOOD MART,,2831 W MARKET ST,,LOUISVILLE,KY,40212,"RETAIL-FOOD  10,000 SQ FT OR LESS",2022-11-16,80,C,MRS NICEY'S AUTHENTIC BBQ FOOD MART,,9399
98505,1707689,REGULAR,MI SUENO RESTAURANT,,3425 BARDSTOWN RD,,LOUISVILLE,KY,40218,FOOD SERVICE,2022-10-10,80,C,MI SUENO RESTAURANT,,5199
107585,1676582,REGULAR,WENDYS,,3610 BUECHEL BYPASS,,LOUISVILLE,KY,40218,FOOD SERVICE,2022-06-02,81,C,WENDYS,,6479
115558,1682930,REGULAR,SENOR PUPUSAS,,8118 PRESTON HWY,,LOUISVILLE,KY,40219,FOOD SERVICE,2022-06-28,81,C,SENOR PUPUSAS,,9658
92029,1720610,REGULAR,WHITE CASTLE,,2350 GREENE WAY,,LOUISVILLE,KY,40220,FOOD SERVICE,2022-12-02,81,C,WHITE CASTLE,,4102
111691,1679675,REGULAR,MORNING FORK,,1722 FRANKFORT AVE,,LOUISVILLE,KY,40206,FOOD SERVICE,2022-06-15,81,C,MORNING FORK,,8006
116087,1694005,REGULAR,22ND FOOD MART,,2200 W MARKET ST,,LOUISVILLE,KY,40212,"RETAIL-FOOD  10,000 SQ FT OR LESS",2022-08-12,81,,22ND FOOD MART,,9637
107692,1714901,REGULAR,FAMILY TIES,,1030 CECIL AVE,,LOUISVILLE,KY,40211,FOOD SERVICE,2022-11-04,81,C,FAMILY TIES,,7045
104491,1685812,REGULAR,5 STAR HALAL MARKET,,310 W WOODLAWN AVE,,LOUISVILLE,KY,40214,"RETAIL-FOOD  10,000 SQ FT OR LESS",2022-07-12,81,C,5 STAR HALAL MARKET,,6089
80286,1683955,REGULAR,GERSTLE'S,,3801 FRANKFORT AVE,,LOUISVILLE,KY,40207,FOOD SERVICE,2022-07-01,81,C,GERSTLE'S,,2975
111950,1716314,REGULAR,GORDON BIERSCH BREWING CO.,,400 S 4TH ST,,LOUISVILLE,KY,40202,FOOD SERVICE,2022-11-11,81,C,GORDON BIERSCH BREWING CO.,,8165
113094,1704934,REGULAR,EL TACO RANCHERO,,5015 POPLAR LEVEL RD,,LOUISVILLE,KY,40219,FOOD SERVICE,2022-09-29,82,C,EL TACO RANCHERO,,8794
103564,1714374,REGULAR,LANDMARK OF LOUISVILLE,,1155 EASTERN PKWY,,LOUISVILLE,KY,40217,FOOD SERVICE (HOSPITAL / NURSING HOME,2022-11-02,82,C,LANDMARK OF LOUISVILLE,,5950
112527,1726662,REGULAR,KING BUFFET,,3020 BARDSTOWN RD,,LOUISVILLE,KY,40205,FOOD SERVICE,2023-01-04,82,C,KING BUFFET,,8748
89726,1678036,REGULAR,MARTINI ITALIAN BISTRO,,4021 SUMMIT PLAZA DR,,LOUISVILLE,KY,40241,FOOD SERVICE,2022-06-08,82,C,MARTINI ITALIAN BISTRO,,3964
114125,1696860,REGULAR,HAVANAS COFFEE EXPRESS,,4801 OUTER LOOP STE FC2,,LOUISVILLE,KY,40219,FOOD SERVICE,2022-08-25,82,C,HAVANAS COFFEE EXPRESS,,9026
116093,1737190,REGULAR,3 BROTHERS FOOD MARKET,,4132 W BROADWAY,,LOUISVILLE,KY,40211,"RETAIL-FOOD  10,000 SQ FT OR LESS",2023-02-23,82,C,3 BROTHERS FOOD MARKET,,9736
66448,1726372,REGULAR,JADE GARDEN,,4801 OUTER LOOP,,LOUISVILLE,KY,40219,FOOD SERVICE,2023-01-03,82,C,JADE GARDEN,,2039
114130,1726663,REGULAR,DARLINGS,,1765 BARDSTOWN RD,,LOUISVILLE,KY,40205,FOOD SERVICE,2023-01-04,82,C,DARLINGS,,9087
117631,1751156,SURVEY,MARKET ZONE,,118 S 26TH ST,,LOUISVILLE,KY,40212,"RETAIL-FOOD  10,000 SQ FT OR LESS",2023-04-26,82,,MARKET ZONE,,10820
93222,1749947,REGULAR,HAVANA RUMBA EXPRESS,,2210 BARDSTOWN RD,,LOUISVILLE,KY,40205,FOOD SERVICE,2023-04-21,82,C,HAVANA RUMBA EXPRESS,,4152
113094,1704887,REGULAR,EL TACO RANCHERO,,5015 POPLAR LEVEL RD,,LOUISVILLE,KY,40219,FOOD SERVICE,2022-09-29,82,C,EL TACO RANCHERO,,8792
105749,1735416,REGULAR,FAIRDALE VALERO,,1101 FAIRDALE RD,,FAIRDALE,KY,40118,"RETAIL-FOOD  10,000 SQ FT OR LESS",2023-02-14,83,C,FAIRDALE VALERO,,6146
110262,1752834,REGULAR,HAPPY DRAGON,,2600 W BROADWAY,,LOUISVILLE,KY,40211,FOOD SERVICE,2023-05-02,83,C,HAPPY DRAGON,,7622
107594,1720438,REGULAR,WENDYS,,4259 OUTER LOOP,,LOUISVILLE,KY,40219,FOOD SERVICE,2022-12-01,83,C,WENDYS,,6663
111517,1680695,REGULAR,TACO RICO,,,,LOUISVILLE,KY,40202,SELF-CONTAINED MOBILE FOOD UNITS,2022-06-16,83,C,TACO RICO,,8126
94642,1726148,REGULAR,JOY LUCK ASIAN CUISINE,,1285 BARDSTOWN RD,,LOUISVILLE,KY,40204,FOOD SERVICE,2022-12-29,83,C,JOY LUCK ASIAN CUISINE,,4380
116872,1721898,REGULAR,VIRTUE BAR & LOUNGE,,1971 BROWNSBORO RD,,LOUISVILLE,KY,40206,FOOD SERVICE,2022-12-07,83,C,VIRTUE BAR & LOUNGE,,10691
113850,1713867,REGULAR,JUMBO BUFFET,,2731 S HURSTBOURNE PKWY,,LOUISVILLE,KY,40299,FOOD SERVICE,2022-11-01,83,C,JUMBO BUFFET,,8852
115791,1710250,REGULAR,TONI'S KITCHEN,,,,LOUISVILLE,KY,40202,SELF-CONTAINED MOBILE FOOD UNITS,2022-10-18,83,C,TONI'S KITCHEN,,9843
62575,1684328,REGULAR,WHITE CASTLE #30,,2711 FERN VALLEY RD,,LOUISVILLE,KY,40213,FOOD SERVICE,2022-07-05,83,C,WHITE CASTLE #30,,1604
115433,1689099,REGULAR,SHACK IN THE BACK BBQ,,10706 MANSLICK RD,,FAIRDALE,KY,40118,FOOD SERVICE,2022-07-26,83,C,SHACK IN THE BACK BBQ,,9848
66097,1735981,REGULAR,PLACE FOR KIDS,,7100 PRESTON HWY,,LOUISVILLE,KY,40219,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,2023-02-17,83,C,PLACE FOR KIDS,,2378
112001,1676189,REGULAR,VON SUBS,,6006 SHEPHERDSVILLE RD,,LOUISVILLE,KY,40228,FOOD SERVICE,2022-06-01,83,C,VON SUBS,,8318
